0,19,3,0,0,0,0,8,8,0,3,68,11,9,11,3,12,13,2,3,6,1,23,29,0,4,5,21,15,1,10,0,25,9,5,13,13,11,5,9,28,15,14,43,1,2,0,4,1,1
2,0,0,0,0,0,46,4,1,10,0,5,0,40,6,9,5,0,2,4,55,2,3,15,6,7,7,11,8,5,16,0,4,1,14,4,3,12,6,10,6,21,25,37,0,1,5,4,0,0
0,0,0,0,15,15,2,13,38,4,7,4,0,33,11,6,1,2,0,7,6,6,3,3,2,2,0,12,0,4,7,11,0,2,5,14,6,6,31,6,20,14,10,51,0,1,0,0,0,0
0,0,0,0,0,57,0,12,1,5,36,12,19,4,9,7,2,15,17,29,1,0,10,4,5,6,2,7,0,7,18,14,16,3,15,20,9,6,0,0,7,0,0,23,0,6,13,6,0,0
15,0,0,23,32,77,0,34,5,12,30,3,27,60,25,20,11,15,22,25,3,21,6,19,27,10,1,17,7,4,32,15,13,0,38,0,4,31,16,9,10,2,115,13,17,7,10,3,0,0
0,0,0,0,0,14,0,1,9,2,4,3,0,0,42,0,7,6,7,4,0,0,8,13,0,6,0,10,0,2,10,0,2,1,14,0,3,7,0,3,3,2,19,73,0,0,0,0,0,0
0,0,0,0,0,19,5,4,6,11,0,6,0,20,2,5,2,10,15,16,13,8,2,7,5,8,3,4,3,1,15,7,3,2,3,24,8,6,8,2,3,8,3,11,0,0,2,0,0,0
12,0,0,0,0,17,15,9,18,14,1,9,44,0,12,15,9,1,11,23,3,27,3,9,4,7,0,21,7,3,11,0,38,20,14,1,19,11,13,61,47,6,14,9,0,6,0,0,0,0
17,7,9,2,11,0,0,4,15,9,5,2,20,15,19,22,11,14,2,1,2,12,8,33,5,4,1,6,3,5,9,3,8,0,28,2,4,11,6,8,5,10,42,60,0,0,4,0,0,0
0,0,0,5,1,0,0,12,18,0,0,42,0,15,11,0,0,0,12,0,7,0,0,8,0,15,0,10,0,0,20,1,8,0,0,0,0,5,0,3,0,5,20,67,0,0,0,0,0,67
0,0,0,2,26,0,0,0,28,8,14,29,36,37,17,24,11,11,13,15,39,2,22,19,6,6,21,11,5,17,17,10,1,12,3,6,25,23,9,11,14,4,15,3,0,0,2,0,0,3
0,12,1,4,21,0,0,15,9,9,6,4,7,35,11,2,8,0,10,31,4,7,19,13,6,6,2,18,1,15,29,4,10,4,30,10,19,23,5,26,14,43,42,41,0,0,0,0,0,0
0,0,0,13,0,0,25,21,0,17,6,2,28,68,41,40,22,10,8,9,11,7,6,17,3,3,13,9,1,15,13,4,6,7,29,1,11,15,7,7,2,2,14,81,10,10,5,1,1,0
0,0,0,0,0,0,0,29,4,0,0,0,38,0,0,0,0,36,2,1,40,19,2,32,2,9,4,3,37,1,0,17,7,0,46,0,0,17,0,12,1,21,43,31,3,4,1,0,0,11
0,0,43,16,0,0,27,3,20,45,21,5,22,52,14,10,16,31,30,5,0,0,13,23,8,12,3,38,3,4,24,18,20,3,27,17,9,29,4,7,14,20,68,23,3,4,1,3,12,0
0,0,0,0,0,0,0,0,24,13,1,15,0,35,0,17,10,1,17,16,0,3,14,22,1,9,3,16,3,4,18,0,12,1,15,0,3,13,2,4,0,18,14,39,0,0,0,0,0,0
0,4,12,0,4,12,6,3,2,18,5,0,10,14,15,3,4,1,5,9,3,10,2,8,2,7,4,17,10,10,7,13,3,0,8,4,48,7,5,1,3,0,2,2,0,2,0,2,2,0
0,0,37,0,0,0,0,27,25,16,5,0,5,24,18,16,10,0,8,22,5,0,13,24,3,0,11,0,7,24,1,0,3,25,14,1,0,10,4,0,19,4,13,17,0,5,0,0,4,0
0,0,0,0,3,22,14,9,0,2,4,0,23,4,2,20,0,0,11,0,25,4,8,6,0,3,1,19,0,13,7,7,0,0,16,2,12,28,6,0,0,0,18,30,0,4,0,0,3,0
0,0,0,0,61,37,4,39,6,0,9,0,53,6,29,25,14,6,26,27,2,10,14,9,2,1,11,9,21,17,20,3,2,4,25,1,3,9,19,6,9,2,48,11,0,0,0,0,5,0
0,0,0,0,0,0,0,0,23,9,0,12,19,19,6,29,12,3,5,10,2,1,17,13,1,0,6,0,3,0,0,5,2,1,0,0,4,11,0,0,0,7,19,18,0,0,0,1,0,0
0,0,0,0,0,0,0,15,2,7,0,0,0,22,9,0,7,5,0,10,3,0,0,14,0,7,3,13,1,3,10,4,6,1,16,8,4,13,0,0,2,4,0,64,0,0,0,0,5,0
21,0,0,5,26,0,3,26,12,21,13,2,27,15,15,8,12,27,6,18,20,7,15,18,11,12,6,17,11,2,25,9,10,30,35,5,10,26,14,2,7,30,45,30,0,0,3,0,0,1
